Company Name,Profile Heading,About Company,Email,Contact,Toll free number,Main Address, Address Pin code,Adress URL,Company registration Number
Jeeva Shiva Mission,Jeeva Shiva Mission,,,3323296239,,"Gobinda Khatick Road, Near Vision Eye Clinic, Topsia, Kolkata, West Bengal 700046 ",700046,,
Sadhana Vidya Mandir,Sadhana Vidya Mandir,,,,,"Canal East Road, Near Pioneer Enterprises, Kundu Bagan, Beliaghata, Kolkata, West Bengal 700085 ",700085,,
Oxford House,Oxford House,,,9038724147,,"Ballygunge Road, Near Bsnl Office, Ballygunge Place, Ballygunge, Kolkata, West Bengal 700019 
",700019,,
St Laetitias High School,St Laetitias High School,,,3322178742,,"P25A, Acharya Jagadish Chandra Bose Rd(SH-1), Raja Bazar, Sealdah, Kolkata, West Bengal 700011 ",700011,,
Techno India Group Public School,Techno India Group Public School,,,3324364028,,"Techno City, Panchpota, Garia, South 24 Pargana, West Bengal-700152",700152,,
Maharishi vidya mandir school,Maharishi Vidya Mandir School,,,9831024933,,"344/1, Netaji Subhas Chandra Bose Rd, Kolkata, West Bengal 700047 ",700047,,
Jagabandhu High school,Jagabandhu High School,,,3323435621,,"24/1C, Kustia Road, Kustia, Kolkata, West Bengal 700039 ",700039,,
Kidzee Tagore Park,Kidzee Tagore Park,,,916338840,," C-14 Tagore Park, Kolkata, West Bengal 700039 ",700039,,
The Crescent School,The Crescent School,,,3323431562,," Rai Charan Ghosh Ln, Near S. B. Food Corner, Picnic Garden, Kustia, Kolkata, West Bengal 700039 ",700039,,
Bani Vidyamandir Girls High School,Bani Vidyamandir Girls High School,,,3323630924,,"3a/a1, Suren Sarkar Road, Subhas Sarobar Park, Beliaghata, Kolkata, West Bengal 700010 ",700010,,
Chowbaga High school,Chowbaga High School,,,3323455077,,"Middle Chowgaba Road, Near Bus Stop Chowbasa, Chowbaga, Kolkata, West Bengal 700105 ",700105,,
Panchajanya High School for Girls,Panchajanya High School For Girls,,,,,"54 A K G Bose Sarani, K G Bose Sarani, Po, Ps Beleghata, Kolkata, West Bengal 700085 ",700085,,
Belgachia Urdu High School,Belgachia Urdu High School,,,3325328389,,"1/2/4, J K Ghosh Road, Belgachia, Kolkata, West Bengal 700037 ",700037,,
East Point High school,East Point High School,,,,,"JBS Haldane Avenue Road, Topsia, Kolkata, West Bengal 700046 ",700046,,
Vidya Bhavana,Vidya Bhavana,,,,,"Sector-III, Salt Lake City, Rajarhat, West Bengal 700097 ",700097,,
Deshbandhu vidyapith,Deshbandhu Vidyapith,,,3323514561,,"15 & 107 Narkel Danga North Road, Calcutta Narkaldanga, West Bengal ",,,
